;Coffee;Coffee_late;Exercise;Exercise late;Phone activity;Noise;Relaxed;Sleep Score
31821;-1;0;1;-1;-1;-1;-1;100
31822;1;-1;-1;0;-1;-1;-1;100
31823;-1;0;-1;0;1;-1;1;95
31824;-1;0;1;1;-1;-1;-1;100
31825;-1;0;-1;0;1;1;-1;69
31826;1;1;1;-1;-1;1;-1;100
31827;1;1;1;1;1;1;1;76
31828;1;1;-1;0;1;-1;1;56
31829;1;-1;1;1;1;1;1;100
31830;-1;0;1;-1;-1;-1;1;100
31831;1;-1;-1;0;1;1;-1;48
31832;-1;0;1;-1;1;-1;-1;81
31833;1;-1;-1;0;-1;-1;1;100
31834;1;-1;-1;0;-1;1;1;100
31835;1;-1;-1;0;-1;-1;1;100
31836;-1;0;-1;0;1;-1;-1;52
31837;1;-1;-1;0;-1;-1;1;100
31838;1;-1;1;1;1;-1;1;100
31839;-1;0;-1;0;-1;1;-1;98
31840;-1;0;1;1;-1;1;-1;100
31841;1;1;1;1;-1;1;-1;81
31842;1;-1;1;1;1;-1;-1;99
31843;-1;0;-1;0;-1;-1;-1;100
31844;1;-1;-1;0;-1;-1;1;100
31845;1;1;-1;0;1;-1;-1;62
31846;1;-1;1;-1;1;1;-1;92
31847;1;1;1;1;-1;1;1;99
31848;1;1;1;-1;1;-1;-1;57
31849;1;-1;1;1;1;1;1;100
31850;1;1;-1;0;1;-1;1;78
31851;-1;0;1;-1;-1;1;1;100
31852;1;1;-1;0;-1;-1;-1;96
31853;1;1;1;1;-1;-1;1;100
31854;-1;0;-1;0;1;-1;-1;64
31855;-1;0;-1;0;1;1;-1;42
31856;-1;0;1;-1;-1;-1;1;100
31857;-1;0;1;-1;-1;-1;-1;100
31858;-1;0;1;-1;-1;1;1;100
31859;1;1;-1;0;-1;1;1;100
31860;-1;0;1;-1;1;1;1;92
31861;1;-1;1;-1;-1;1;1;100
31862;1;-1;-1;0;-1;1;-1;100
31863;-1;0;-1;0;-1;1;-1;97
31864;-1;0;1;1;1;-1;1;87
31865;1;-1;1;1;1;1;1;100
31866;-1;0;-1;0;1;-1;1;80
31867;-1;0;1;1;1;-1;1;100
31868;1;-1;1;1;-1;1;1;100
31869;-1;0;-1;0;-1;-1;-1;100
31870;1;-1;1;1;-1;-1;1;100
31871;1;-1;-1;0;-1;-1;-1;100
31872;1;1;-1;0;1;-1;-1;54
31873;1;1;1;-1;-1;1;-1;73
31874;-1;0;-1;0;-1;-1;-1;100
31875;1;-1;1;1;-1;1;1;100
31876;1;-1;-1;0;1;1;-1;84
31877;-1;0;1;-1;-1;1;1;100
31878;1;-1;1;1;1;-1;1;100
31879;-1;0;-1;0;-1;1;-1;100
31880;-1;0;-1;0;-1;1;-1;88
31881;1;-1;-1;0;-1;-1;1;100
31882;1;-1;1;-1;1;1;-1;99
31883;1;1;1;-1;1;1;-1;53
31884;-1;0;-1;0;-1;-1;-1;100
31885;1;-1;1;1;1;1;-1;81
31886;-1;0;-1;0;1;1;1;50
31887;-1;0;1;-1;-1;1;1;100
31888;-1;0;-1;0;-1;1;-1;100
31889;-1;0;1;-1;1;1;1;80
31890;-1;0;1;1;-1;-1;1;100
31891;-1;0;1;1;1;-1;1;100
31892;1;1;1;1;-1;-1;1;100
31893;1;1;-1;0;1;1;-1;34
31894;1;1;-1;0;-1;-1;1;100
31895;-1;0;-1;0;1;-1;1;98
31896;-1;0;1;1;-1;1;1;100
31897;-1;0;1;1;-1;1;1;100
31898;-1;0;1;-1;-1;1;1;100
31899;1;1;1;1;-1;1;1;100
31900;-1;0;-1;0;-1;1;-1;85
31901;-1;0;1;-1;-1;-1;-1;100
31902;1;-1;1;-1;-1;1;1;100
31903;-1;0;1;-1;-1;1;1;100
31904;-1;0;-1;0;-1;-1;1;100
31905;1;1;-1;0;-1;1;-1;54
31906;1;-1;1;1;1;-1;1;100
31907;-1;0;-1;0;1;-1;1;85
31908;-1;0;1;-1;1;1;1;69
31909;-1;0;-1;0;-1;1;-1;94
31910;1;-1;-1;0;1;1;-1;78
31911;-1;0;1;1;-1;-1;-1;100
31912;-1;0;1;-1;-1;1;-1;100
31913;-1;0;-1;0;-1;1;-1;96
31914;1;1;-1;0;-1;1;-1;87
31915;1;-1;1;1;-1;1;-1;100
31916;-1;0;1;-1;-1;-1;1;100
31917;-1;0;-1;0;-1;-1;-1;100
31918;-1;0;-1;0;1;1;-1;50
31919;1;-1;-1;0;1;-1;1;94
31920;-1;0;-1;0;1;1;-1;62
31921;1;-1;1;1;-1;-1;1;100
31922;1;1;-1;0;1;-1;-1;44
31923;1;-1;1;-1;1;1;-1;82
31924;-1;0;1;-1;1;1;-1;67
31925;1;1;-1;0;1;-1;-1;50
31926;-1;0;1;-1;1;1;1;96
31927;-1;0;1;1;1;1;1;80
31928;1;-1;-1;0;-1;1;1;100
31929;-1;0;1;1;-1;-1;1;100
31930;-1;0;1;-1;1;-1;1;100
31931;-1;0;1;-1;1;1;-1;70
31932;1;-1;-1;0;1;-1;1;95
31933;1;1;1;-1;1;-1;-1;47
31934;1;1;1;-1;1;1;1;56
31935;-1;0;-1;0;-1;1;1;100
31936;-1;0;1;1;-1;-1;-1;100
31937;1;-1;-1;0;1;-1;-1;92
31938;1;1;-1;0;-1;-1;1;97
31939;1;1;1;-1;1;1;1;78
31940;-1;0;-1;0;1;1;1;65
31941;1;-1;-1;0;-1;1;1;100
31942;1;1;-1;0;1;-1;-1;66
31943;1;-1;-1;0;1;-1;-1;100
31944;1;1;-1;0;-1;1;-1;99
31945;-1;0;1;-1;-1;-1;-1;100
31946;-1;0;1;1;-1;-1;1;100
31947;1;1;1;-1;1;-1;1;100
31948;1;-1;-1;0;-1;-1;-1;100
31949;1;1;-1;0;1;1;-1;44
31950;-1;0;1;-1;1;1;1;100
31951;1;-1;-1;0;1;1;1;100
31952;-1;0;1;1;1;1;1;71
31953;-1;0;-1;0;-1;-1;-1;100
31954;-1;0;1;1;1;1;-1;63
31955;1;1;1;-1;1;1;1;56
31956;-1;0;-1;0;1;1;1;83
31957;1;1;1;-1;1;1;1;86
31958;1;1;-1;0;1;1;-1;35
31959;-1;0;-1;0;1;-1;1;87
31960;1;1;-1;0;1;1;-1;39
31961;-1;0;-1;0;1;-1;1;99
31962;1;-1;1;-1;-1;-1;-1;100
31963;1;-1;1;1;-1;1;-1;100
31964;-1;0;1;1;-1;-1;1;100
31965;-1;0;-1;0;1;-1;-1;51
31966;-1;0;1;1;-1;1;1;100
31967;-1;0;1;-1;-1;-1;-1;100
31968;1;-1;-1;0;-1;-1;1;100
31969;-1;0;-1;0;1;1;1;59
31970;-1;0;1;-1;-1;-1;1;100
31971;-1;0;1;-1;1;-1;1;100
31972;1;-1;-1;0;1;1;-1;100
31973;1;1;-1;0;1;1;1;50
31974;-1;0;-1;0;1;-1;1;86
31975;1;-1;1;-1;1;-1;-1;100
31976;-1;0;-1;0;1;1;1;47
31977;1;-1;-1;0;-1;-1;1;100
31978;-1;0;1;-1;-1;-1;1;100
31979;1;1;-1;0;1;-1;-1;52
31980;-1;0;-1;0;-1;-1;-1;100
31981;1;1;-1;0;-1;1;1;92
31982;-1;0;1;-1;-1;1;1;100
31983;1;-1;-1;0;-1;-1;1;100
31984;1;-1;-1;0;1;-1;-1;72
31985;1;1;1;1;-1;1;-1;100
31986;-1;0;1;1;1;1;1;82
31987;1;1;-1;0;1;-1;1;51
31988;-1;0;-1;0;1;-1;-1;63
31989;-1;0;1;-1;-1;1;1;100
31990;-1;0;-1;0;-1;-1;-1;100
31991;1;-1;-1;0;1;1;1;97
31992;1;-1;-1;0;1;-1;-1;81
31993;-1;0;-1;0;-1;1;-1;86
31994;1;1;-1;0;-1;-1;-1;100
31995;-1;0;1;1;-1;-1;1;100
31996;-1;0;1;-1;-1;-1;1;100
31997;-1;0;-1;0;1;1;1;72
31998;1;-1;1;-1;1;-1;-1;100
31999;-1;0;1;-1;-1;-1;-1;100
32000;1;-1;1;-1;-1;1;-1;100
32001;1;-1;1;-1;1;1;1;100
32002;-1;0;1;1;-1;1;1;100
32003;-1;0;-1;0;-1;1;-1;100
32004;1;-1;-1;0;-1;-1;-1;100
32005;1;-1;1;1;1;-1;1;100
32006;-1;0;1;1;1;1;-1;72
32007;1;1;1;-1;-1;1;1;100
32008;1;-1;-1;0;1;1;1;81
32009;1;1;1;-1;-1;-1;1;100
32010;-1;0;-1;0;1;-1;-1;83
32011;1;1;-1;0;-1;-1;1;100
32012;-1;0;-1;0;-1;-1;1;100
32013;-1;0;1;-1;1;1;-1;72
32014;1;-1;-1;0;1;1;1;78
32015;1;1;1;1;-1;1;-1;52
32016;1;1;1;-1;1;-1;-1;71
32017;-1;0;-1;0;1;-1;-1;76
32018;-1;0;-1;0;1;-1;-1;61
32019;-1;0;-1;0;-1;-1;-1;100
32020;-1;0;1;-1;1;1;-1;80
32021;1;1;1;-1;1;1;1;77
32022;1;1;-1;0;-1;-1;1;100
32023;-1;0;1;-1;1;-1;-1;92
32024;-1;0;-1;0;-1;-1;-1;100
32025;-1;0;1;-1;1;-1;1;100
32026;1;-1;-1;0;-1;1;-1;100
32027;-1;0;1;1;-1;-1;-1;100
32028;1;-1;-1;0;1;1;1;72
32029;1;-1;-1;0;-1;-1;1;100
32030;-1;0;-1;0;-1;1;1;100
32031;-1;0;-1;0;-1;-1;1;100
32032;-1;0;-1;0;-1;-1;-1;100
32033;-1;0;-1;0;-1;-1;1;100
32034;-1;0;1;-1;-1;1;1;100
32035;-1;0;-1;0;-1;1;1;100
32036;1;1;-1;0;1;-1;-1;52
32037;-1;0;-1;0;-1;-1;-1;100
32038;-1;0;1;-1;-1;-1;1;100
32039;1;1;1;1;-1;-1;1;100
32040;1;-1;-1;0;1;1;-1;70
32041;1;1;1;-1;-1;-1;-1;100
32042;-1;0;-1;0;1;-1;1;86
32043;-1;0;1;-1;-1;1;1;100
32044;1;-1;-1;0;-1;-1;-1;100
32045;-1;0;1;1;1;-1;1;87
32046;-1;0;1;1;-1;-1;1;100
32047;1;-1;-1;0;-1;-1;-1;100
32048;1;-1;-1;0;1;1;1;97
32049;-1;0;-1;0;1;-1;1;91
32050;1;-1;-1;0;-1;-1;1;100
32051;-1;0;-1;0;1;-1;-1;53
32052;1;1;-1;0;-1;-1;1;100
32053;1;1;-1;0;-1;1;1;72
32054;1;1;1;-1;-1;-1;-1;94
32055;-1;0;-1;0;1;-1;-1;70
32056;-1;0;-1;0;1;-1;-1;60
32057;1;1;-1;0;-1;1;1;90
32058;-1;0;1;-1;-1;1;1;100
32059;-1;0;-1;0;-1;1;1;100
32060;-1;0;-1;0;-1;-1;-1;100
32061;1;-1;-1;0;-1;1;1;100
32062;-1;0;-1;0;-1;-1;-1;100
32063;1;-1;-1;0;1;1;1;86
32064;-1;0;-1;0;1;1;1;79
32065;1;-1;1;1;-1;-1;1;100
32066;1;-1;-1;0;-1;-1;1;100
32067;-1;0;-1;0;1;-1;1;80
32068;-1;0;-1;0;-1;1;1;91
32069;-1;0;1;-1;-1;-1;-1;100
32070;1;-1;-1;0;-1;1;1;100
32071;1;-1;-1;0;-1;1;1;100
32072;-1;0;1;1;-1;-1;-1;100
32073;-1;0;1;1;1;1;1;95
32074;1;1;-1;0;-1;-1;-1;91
32075;-1;0;1;-1;1;-1;1;100
32076;1;-1;1;1;-1;-1;-1;100
32077;1;-1;-1;0;-1;-1;-1;100
32078;1;-1;1;-1;1;-1;-1;100
32079;-1;0;1;1;1;1;-1;55
32080;1;-1;-1;0;1;1;-1;100
32081;-1;0;-1;0;-1;1;1;100
32082;-1;0;-1;0;1;1;-1;51
32083;1;1;-1;0;-1;1;1;100
32084;-1;0;-1;0;-1;1;-1;94
32085;-1;0;1;1;1;1;1;76
32086;1;-1;1;-1;1;-1;1;100
32087;-1;0;1;1;1;-1;-1;89
32088;1;1;-1;0;-1;1;1;100
32089;-1;0;-1;0;-1;-1;1;100
32090;1;1;-1;0;-1;-1;1;100
32091;1;1;1;-1;-1;1;-1;100
32092;-1;0;1;-1;1;1;-1;77
32093;1;1;1;-1;1;-1;-1;68
32094;1;1;1;-1;1;1;-1;55
32095;-1;0;1;-1;1;-1;1;100
32096;-1;0;1;1;1;-1;1;100
32097;1;-1;1;1;-1;-1;1;100
32098;-1;0;1;-1;-1;1;1;100
32099;-1;0;1;1;1;-1;1;88
32100;-1;0;-1;0;-1;1;1;100
32101;-1;0;-1;0;-1;1;1;100
32102;1;-1;-1;0;1;1;1;91
32103;-1;0;-1;0;1;-1;-1;62
32104;1;-1;-1;0;-1;-1;-1;100
32105;1;1;1;-1;1;-1;1;92
32106;1;1;-1;0;-1;1;-1;91
32107;-1;0;-1;0;-1;-1;1;100
32108;-1;0;-1;0;1;1;1;61
32109;1;-1;-1;0;1;1;-1;83
32110;-1;0;1;-1;1;1;-1;56
32111;1;1;-1;0;-1;-1;1;100
32112;-1;0;1;1;-1;1;1;100
32113;-1;0;1;-1;-1;-1;-1;100
32114;-1;0;-1;0;-1;-1;1;100
32115;1;-1;1;1;1;-1;-1;83
32116;-1;0;-1;0;1;1;1;54
32117;-1;0;1;1;1;-1;1;89
32118;1;-1;1;-1;-1;-1;-1;100
32119;1;-1;1;-1;1;1;-1;96
32120;-1;0;-1;0;1;1;1;69
32121;1;-1;-1;0;1;1;1;93
32122;-1;0;-1;0;1;-1;-1;48
32123;1;1;1;1;-1;1;1;93
32124;1;1;1;1;-1;1;1;65
32125;-1;0;1;1;1;-1;-1;72
32126;-1;0;-1;0;1;-1;1;100
32127;1;1;1;1;1;-1;1;98
32128;1;1;-1;0;-1;-1;1;100
32129;-1;0;-1;0;1;-1;-1;68
32130;1;1;-1;0;1;-1;-1;43
32131;1;-1;1;1;1;-1;-1;100
32132;1;1;1;-1;1;1;-1;48
32133;-1;0;-1;0;1;-1;-1;100
32134;-1;0;-1;0;-1;1;-1;95
32135;-1;0;-1;0;1;1;1;71
32136;-1;0;-1;0;1;1;-1;47
32137;-1;0;1;-1;-1;1;-1;100
32138;-1;0;1;1;1;1;1;82
32139;1;-1;-1;0;-1;-1;-1;100
32140;-1;0;-1;0;-1;1;1;100
32141;1;-1;1;1;-1;1;-1;100
32142;-1;0;1;1;1;1;-1;74
32143;1;1;-1;0;-1;1;-1;71
32144;1;1;-1;0;1;-1;1;75
32145;1;1;-1;0;1;-1;-1;57
32146;-1;0;1;-1;1;-1;-1;86
32147;-1;0;1;-1;1;-1;1;100
32148;1;1;1;1;1;1;1;67
32149;1;-1;-1;0;-1;1;-1;94
32150;-1;0;1;1;-1;-1;1;100
32151;1;-1;1;1;1;-1;-1;92
32152;1;-1;1;1;1;1;-1;100
32153;-1;0;-1;0;-1;1;1;100
32154;-1;0;1;-1;1;-1;1;100
32155;1;1;-1;0;1;-1;1;64
32156;1;-1;-1;0;-1;-1;-1;100
32157;1;-1;1;-1;-1;-1;1;100
32158;1;1;1;-1;-1;1;1;93
32159;-1;0;-1;0;-1;1;1;100
32160;1;-1;-1;0;-1;-1;1;100
32161;1;1;-1;0;1;1;-1;40
32162;-1;0;1;-1;-1;-1;1;100
32163;-1;0;-1;0;1;1;1;63
32164;-1;0;1;-1;-1;-1;-1;100
32165;1;1;-1;0;-1;1;-1;69
32166;-1;0;1;1;1;1;1;80
32167;-1;0;-1;0;-1;1;-1;88
32168;-1;0;1;-1;-1;-1;1;100
32169;-1;0;-1;0;1;1;1;83
32170;-1;0;1;1;-1;-1;1;100
32171;1;-1;1;-1;-1;-1;-1;100
32172;1;1;1;1;1;1;-1;51
32173;1;1;-1;0;-1;-1;-1;78
32174;1;1;1;-1;-1;1;1;100
32175;-1;0;-1;0;1;1;1;60
32176;1;1;1;1;1;-1;1;66
32177;1;1;-1;0;-1;-1;-1;100
32178;-1;0;1;1;-1;1;-1;100
32179;-1;0;-1;0;1;-1;1;83
32180;1;1;1;-1;1;-1;-1;53
32181;1;1;1;-1;-1;-1;1;100
32182;1;1;-1;0;-1;1;-1;82
32183;1;1;-1;0;-1;-1;-1;90
32184;1;1;-1;0;-1;1;1;100
32185;1;1;-1;0;-1;-1;-1;100
32186;-1;0;-1;0;1;1;1;60
32187;1;1;-1;0;-1;1;1;90
32188;-1;0;-1;0;1;-1;1;99
32189;-1;0;1;1;1;-1;-1;93
32190;-1;0;-1;0;-1;1;1;100
32191;-1;0;1;-1;-1;1;1;100
32192;1;1;1;-1;1;-1;1;100
32193;-1;0;-1;0;-1;1;-1;84
32194;1;-1;-1;0;1;1;-1;46
32195;1;-1;-1;0;-1;1;-1;100
32196;1;-1;-1;0;-1;-1;-1;100
32197;-1;0;1;1;1;-1;1;97
32198;-1;0;1;-1;1;1;-1;85
32199;-1;0;1;1;1;-1;-1;83
32200;-1;0;1;1;-1;-1;1;100
32201;-1;0;1;-1;-1;-1;-1;100
32202;1;1;-1;0;1;-1;-1;53
32203;1;-1;1;-1;-1;-1;1;100
32204;-1;0;-1;0;1;1;-1;72
32205;1;-1;-1;0;1;1;-1;56
32206;-1;0;1;1;1;1;-1;47
32207;-1;0;1;1;1;-1;-1;93
32208;1;-1;1;-1;1;1;-1;100
32209;-1;0;1;1;-1;1;1;100
32210;-1;0;1;-1;-1;-1;-1;100
32211;-1;0;-1;0;1;1;-1;60
32212;-1;0;1;1;1;1;-1;63
32213;-1;0;1;-1;1;1;1;87
32214;-1;0;-1;0;1;-1;-1;58
32215;1;-1;1;-1;-1;1;1;100
32216;-1;0;-1;0;-1;-1;-1;100
32217;-1;0;-1;0;-1;-1;1;100
32218;1;1;-1;0;1;-1;1;45
32219;1;-1;-1;0;-1;-1;1;100
32220;-1;0;-1;0;-1;-1;-1;100
32221;1;1;-1;0;1;-1;-1;68
32222;1;-1;-1;0;1;-1;1;100
32223;-1;0;-1;0;1;1;-1;55
32224;-1;0;1;-1;1;1;1;100
32225;-1;0;1;-1;1;-1;-1;96
32226;-1;0;1;-1;-1;1;-1;100
32227;1;-1;1;-1;-1;-1;1;100
32228;1;-1;1;1;1;-1;1;100
32229;1;1;1;1;1;-1;-1;71
32230;-1;0;1;-1;-1;-1;-1;100
32231;1;-1;1;-1;-1;-1;-1;100
32232;1;-1;1;-1;-1;1;-1;100
32233;-1;0;-1;0;1;1;-1;56
32234;-1;0;1;1;-1;1;1;100
32235;1;1;-1;0;-1;-1;1;100
32236;-1;0;-1;0;1;-1;-1;60
32237;1;-1;-1;0;1;-1;-1;85
32238;-1;0;-1;0;-1;-1;-1;100
32239;1;1;1;1;1;1;1;70
32240;-1;0;-1;0;1;-1;1;87
32241;-1;0;1;-1;-1;1;1;100
32242;-1;0;-1;0;-1;1;1;100
32243;1;-1;1;-1;-1;1;-1;100
32244;1;1;1;1;-1;1;-1;88
32245;-1;0;-1;0;-1;-1;1;100
32246;1;1;1;1;1;-1;1;94
32247;1;1;1;-1;-1;-1;-1;100
32248;-1;0;-1;0;-1;1;-1;96
32249;-1;0;-1;0;-1;-1;1;100
32250;1;1;1;-1;1;-1;1;82
32251;1;-1;-1;0;1;-1;-1;86
32252;1;-1;-1;0;-1;-1;-1;100
32253;-1;0;1;-1;1;-1;1;100
32254;-1;0;1;-1;1;1;-1;64
32255;-1;0;-1;0;1;1;1;58
32256;-1;0;-1;0;1;1;1;75
32257;1;1;-1;0;1;-1;1;56
32258;-1;0;-1;0;1;-1;1;89
32259;-1;0;-1;0;-1;-1;-1;93
32260;-1;0;-1;0;-1;1;1;100
32261;1;-1;1;1;1;-1;1;100
32262;1;-1;-1;0;-1;1;-1;100
32263;-1;0;1;-1;-1;-1;1;100
32264;1;-1;1;-1;-1;1;1;100
32265;1;-1;1;1;1;-1;-1;94
32266;1;-1;-1;0;1;-1;-1;72
32267;1;1;-1;0;1;-1;1;73
32268;-1;0;-1;0;-1;-1;1;100
32269;-1;0;1;-1;1;-1;1;100
32270;-1;0;1;1;-1;1;1;100
32271;1;-1;-1;0;1;-1;1;98
32272;1;1;-1;0;1;-1;1;64
32273;1;1;1;-1;-1;1;1;100
32274;1;1;1;-1;-1;-1;-1;100
32275;-1;0;1;1;-1;-1;-1;100
32276;1;-1;-1;0;1;-1;1;100
32277;-1;0;1;1;-1;-1;1;100
32278;-1;0;1;1;1;-1;-1;82
32279;-1;0;-1;0;1;1;-1;61
32280;-1;0;1;-1;1;-1;-1;90
32281;1;-1;-1;0;-1;1;-1;100
32282;-1;0;1;-1;1;1;-1;62
32283;1;1;1;-1;1;1;-1;55
32284;1;-1;1;1;-1;1;-1;100
32285;-1;0;-1;0;1;-1;-1;75
32286;-1;0;-1;0;-1;1;-1;100
32287;-1;0;-1;0;-1;-1;-1;100
32288;-1;0;1;1;-1;-1;1;100
32289;-1;0;-1;0;-1;-1;-1;100
32290;1;1;-1;0;-1;1;1;100
32291;1;1;1;-1;1;-1;1;100
32292;-1;0;-1;0;1;1;1;75
32293;-1;0;1;-1;1;-1;1;100
32294;-1;0;-1;0;-1;1;1;100
32295;-1;0;1;-1;1;1;-1;73
32296;-1;0;1;-1;-1;-1;-1;100
32297;-1;0;-1;0;1;-1;-1;77
32298;-1;0;1;-1;1;-1;-1;80
32299;-1;0;1;-1;1;-1;1;100
32300;-1;0;1;-1;-1;-1;-1;100
32301;1;1;-1;0;1;-1;1;52
32302;-1;0;-1;0;-1;1;1;100
32303;1;-1;-1;0;-1;-1;1;100
32304;1;-1;-1;0;1;-1;-1;91
32305;-1;0;-1;0;1;1;1;88
32306;1;-1;-1;0;1;1;-1;83
32307;1;-1;-1;0;1;1;-1;75
32308;1;-1;-1;0;1;1;1;85
32309;1;1;1;-1;1;-1;1;77
32310;-1;0;1;-1;1;1;1;100
32311;-1;0;1;1;1;1;1;95
32312;-1;0;-1;0;-1;-1;-1;100
32313;1;-1;1;1;1;1;1;94
32314;1;-1;1;-1;1;-1;1;100
32315;1;-1;1;1;-1;-1;-1;100
32316;-1;0;1;1;-1;-1;-1;100
32317;1;1;1;-1;1;-1;-1;56
32318;1;-1;1;1;1;-1;1;100
32319;-1;0;-1;0;-1;-1;1;100
32320;-1;0;-1;0;1;-1;1;72
32321;-1;0;-1;0;1;1;-1;61
32322;-1;0;1;1;-1;-1;1;100
32323;1;-1;1;1;-1;1;-1;100
32324;1;-1;1;-1;-1;-1;-1;100
32325;1;1;-1;0;-1;-1;1;96
32326;1;-1;-1;0;1;1;-1;82
32327;1;1;-1;0;1;-1;-1;74
32328;1;-1;1;1;-1;1;1;100
32329;1;1;1;1;1;-1;1;60
32330;-1;0;-1;0;1;1;-1;40
32331;1;1;1;-1;1;-1;1;100
32332;1;-1;-1;0;1;1;1;95
32333;1;-1;-1;0;1;-1;-1;81
32334;1;1;1;1;-1;1;-1;75
32335;-1;0;-1;0;1;-1;-1;63
32336;-1;0;1;1;-1;1;1;100
32337;1;1;1;-1;-1;-1;1;100
32338;1;-1;1;-1;1;-1;1;100
32339;1;-1;-1;0;-1;-1;1;100
32340;-1;0;1;-1;1;1;-1;75
32341;-1;0;1;-1;-1;-1;1;100
32342;1;1;1;1;1;-1;1;78
32343;1;1;1;1;-1;-1;1;100
32344;-1;0;-1;0;1;1;-1;59
32345;-1;0;1;-1;1;-1;1;100
32346;1;1;1;-1;1;-1;1;95
32347;1;-1;-1;0;1;1;1;92
32348;-1;0;-1;0;-1;1;-1;100
32349;1;1;1;-1;1;1;-1;40
32350;1;-1;1;-1;1;-1;1;100
32351;-1;0;1;-1;1;1;-1;59
32352;1;-1;1;-1;1;-1;-1;100
32353;-1;0;-1;0;1;-1;-1;46
32354;-1;0;1;-1;1;-1;1;100
32355;-1;0;-1;0;1;1;-1;29
32356;-1;0;1;-1;1;1;-1;69
32357;-1;0;1;-1;1;-1;-1;100
32358;1;1;1;1;1;1;1;61
32359;-1;0;1;-1;-1;1;1;100
32360;1;1;-1;0;-1;-1;-1;76
32361;1;-1;1;-1;-1;1;-1;100
32362;1;-1;1;-1;-1;-1;1;100
32363;1;1;1;-1;1;1;1;56
32364;1;-1;-1;0;1;-1;-1;93
32365;1;-1;-1;0;1;1;-1;85
32366;-1;0;-1;0;-1;-1;1;100
32367;-1;0;1;1;-1;1;-1;100
32368;-1;0;-1;0;1;-1;-1;65
32369;-1;0;1;-1;1;-1;-1;90
32370;1;-1;-1;0;-1;-1;1;100
32371;-1;0;-1;0;1;1;1;50
32372;-1;0;1;1;-1;1;1;100
32373;1;1;-1;0;1;1;-1;23
32374;1;1;1;-1;-1;-1;1;100
32375;-1;0;-1;0;-1;-1;1;100
32376;-1;0;-1;0;1;1;1;47
32377;1;-1;-1;0;-1;1;-1;100
32378;1;1;1;1;-1;-1;1;100
32379;-1;0;-1;0;-1;-1;-1;100
32380;-1;0;-1;0;-1;1;-1;100
32381;1;-1;1;-1;-1;1;-1;100
32382;1;1;-1;0;-1;-1;-1;87
32383;1;-1;1;-1;1;1;-1;100
32384;1;-1;-1;0;1;1;1;81
32385;1;-1;-1;0;-1;-1;-1;100
32386;-1;0;-1;0;1;-1;-1;72
32387;-1;0;-1;0;-1;1;-1;91
32388;-1;0;-1;0;-1;-1;1;100
32389;1;1;-1;0;1;-1;1;66
32390;-1;0;1;1;1;-1;1;91
32391;1;1;-1;0;1;1;-1;22
32392;1;-1;1;-1;-1;-1;1;100
32393;-1;0;1;1;1;1;-1;51
32394;-1;0;1;1;1;-1;1;89
32395;-1;0;-1;0;1;-1;-1;70
32396;-1;0;1;1;1;-1;1;91
32397;1;1;-1;0;-1;1;-1;65
32398;1;-1;-1;0;1;1;-1;90
32399;1;1;1;1;1;-1;1;75
32400;-1;0;-1;0;1;-1;-1;63
32401;-1;0;-1;0;1;1;-1;43
32402;-1;0;-1;0;-1;-1;-1;100
32403;1;-1;-1;0;1;1;1;100
32404;-1;0;1;1;-1;-1;-1;100
32405;1;1;-1;0;-1;1;1;86
32406;-1;0;-1;0;-1;1;-1;81
32407;-1;0;-1;0;1;1;-1;58
32408;1;1;1;1;-1;1;-1;100
32409;1;1;1;-1;-1;-1;-1;100
32410;-1;0;1;-1;1;1;1;95
32411;1;-1;-1;0;-1;1;-1;100
32412;-1;0;-1;0;-1;1;1;100
32413;-1;0;-1;0;1;1;1;82
32414;-1;0;-1;0;-1;-1;-1;100
32415;1;1;1;1;-1;-1;1;100
32416;1;1;-1;0;1;1;1;77
32417;1;-1;1;1;1;-1;1;100
32418;-1;0;-1;0;-1;-1;1;100
32419;-1;0;1;-1;1;1;-1;71
32420;-1;0;-1;0;1;1;-1;53
32421;1;1;1;1;-1;1;-1;84
32422;-1;0;1;1;1;1;-1;62
32423;-1;0;1;-1;-1;1;-1;100
32424;-1;0;1;1;1;-1;-1;84
32425;-1;0;-1;0;1;-1;-1;54
32426;1;1;1;-1;1;-1;-1;85
32427;1;-1;1;-1;-1;1;-1;100
32428;-1;0;1;-1;-1;-1;1;100
32429;1;-1;1;1;-1;1;1;100
32430;1;-1;-1;0;1;1;-1;77
32431;-1;0;-1;0;1;1;1;60
32432;-1;0;1;-1;1;1;-1;80
32433;1;-1;1;1;1;-1;-1;82
32434;1;1;-1;0;1;-1;-1;11
32435;1;-1;1;1;-1;1;-1;100
32436;-1;0;1;-1;-1;1;1;100
32437;-1;0;-1;0;1;-1;1;81
32438;-1;0;-1;0;-1;1;-1;82
32439;1;1;1;-1;1;-1;-1;76
32440;-1;0;1;-1;-1;1;1;100
32441;-1;0;-1;0;1;1;-1;65
32442;1;1;-1;0;1;-1;1;68
32443;1;-1;1;1;1;-1;1;100
32444;-1;0;-1;0;-1;-1;1;100
32445;1;-1;-1;0;-1;-1;-1;100
32446;-1;0;-1;0;1;-1;1;83
32447;-1;0;-1;0;-1;1;-1;82
32448;-1;0;1;1;-1;-1;1;100
32449;1;-1;-1;0;1;1;1;63
32450;1;1;1;1;1;-1;1;76
32451;-1;0;-1;0;1;-1;1;89
32452;1;-1;1;1;-1;-1;1;100
